<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.07.06	1916.22	1927.69	1902.66	1910.81	101502	0	7
2023.07.07	1911.00	1934.85	1909.53	1925.35	100802	0	7
2023.07.10	1925.15	1928.17	1912.65	1925.32	87945	0	7
2023.07.11	1925.28	1938.42	1924.27	1932.01	84876	0	7
2023.07.12	1932.29	1959.66	1932.22	1957.82	101885	0	7
2023.07.13	1957.77	1963.56	1952.29	1960.36	100477	0	7
2023.07.14	1960.60	1963.75	1950.89	1955.10	96791	0	7
2023.07.17	1954.96	1959.86	1945.71	1954.95	80498	0	7
2023.07.18	1954.65	1984.37	1954.65	1978.52	103224	0	7
2023.07.19	1978.84	1980.91	1969.79	1977.04	94688	0	7
2023.07.20	1978.10	1987.46	1965.30	1969.60	92505	0	7
2023.07.21	1970.39	1973.78	1956.76	1961.72	86211	0	7
2023.07.24	1962.36	1967.84	1953.44	1954.74	82218	0	7
2023.07.25	1955.11	1965.65	1951.38	1964.98	79135	0	7
2023.07.26	1964.73	1978.30	1961.99	1972.14	92063	0	7
2023.07.27	1971.11	1982.20	1942.56	1944.90	100146	0	7
2023.07.28	1946.58	1963.56	1945.37	1959.00	105770	0	7
2023.07.31	1959.72	1972.41	1950.43	1965.38	81441	0	7
2023.08.01	1965.74	1966.02	1941.27	1944.18	82648	0	7
2023.08.02	1950.12	1954.73	1932.85	1934.87	88945	0	7
2023.08.03	1935.38	1938.97	1929.45	1934.24	87279	0	7
2023.08.04	1934.76	1946.81	1925.41	1942.75	84843	0	7
2023.08.07	1942.53	1946.66	1931.46	1936.34	64819	0	7
2023.08.08	1936.52	1938.02	1922.74	1924.72	78825	0	7
2023.08.09	1924.94	1932.34	1914.01	1914.41	67617	0	7
2023.08.10	1915.37	1930.09	1912.46	1912.48	83954	0	7
2023.08.11	1912.61	1920.95	1910.75	1913.34	68626	0	7
2023.08.14	1913.85	1916.19	1902.71	1907.26	71165	0	7
2023.08.15	1907.19	1911.55	1895.96	1901.69	90615	0	7
2023.08.16	1901.88	1907.17	1891.78	1892.53	77650	0	7
2023.08.17	1894.21	1903.39	1884.94	1888.89	86339	0	7
2023.08.18	1889.53	1896.73	1886.74	1889.45	69725	0	7
2023.08.21	1889.52	1898.74	1884.84	1894.63	77899	0	7
2023.08.22	1894.65	1904.50	1889.10	1897.48	74722	0	7
2023.08.23	1897.86	1920.31	1897.58	1914.86	81131	0	7
2023.08.24	1916.91	1923.32	1911.78	1917.01	78127	0	7
2023.08.25	1916.86	1922.32	1903.72	1914.74	79566	0	7
2023.08.28	1915.67	1926.02	1912.78	1919.93	63711	0	7
2023.08.29	1920.20	1938.14	1914.40	1937.83	76126	0	7
2023.08.30	1937.05	1949.09	1934.96	1942.76	79022	0	7
2023.08.31	1943.83	1947.85	1938.95	1939.84	73291	0	7
2023.09.01	1940.07	1952.91	1934.42	1939.51	82913	0	7
2023.09.04	1940.28	1946.37	1936.79	1938.35	40303	0	7
2023.09.05	1938.74	1938.98	1925.30	1925.89	79856	0	7
2023.09.06	1926.38	1929.20	1915.27	1916.00	77148	0	7
2023.09.07	1917.33	1923.59	1916.18	1919.57	69202	0	7
2023.09.08	1919.38	1929.71	1917.32	1919.22	67069	0	7
2023.09.11	1919.70	1930.68	1916.69	1922.47	76392	0	7
2023.09.12	1922.83	1924.45	1907.56	1913.35	73729	0	7
2023.09.13	1913.40	1915.76	1905.58	1908.30	86465	0	7
2023.09.14	1909.03	1912.87	1900.98	1910.17	92366	0	7
2023.09.15	1910.73	1930.40	1909.77	1923.38	90838	0	7
2023.09.18	1924.09	1934.21	1922.49	1933.28	71334	0	7
2023.09.19	1933.78	1937.39	1929.71	1931.14	60310	0	7
2023.09.20	1932.36	1947.41	1927.87	1929.43	80652	0	7
2023.09.21	1929.79	1931.56	1913.89	1919.87	83690	0	7
2023.09.22	1919.77	1929.03	1919.77	1925.22	65993	0	7
2023.09.25	1926.15	1927.15	1915.08	1915.86	62294	0	7
2023.09.26	1916.21	1916.80	1899.07	1900.36	67391	0	7
