<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.09.14	4477.15	4492.15	4438.45	4450.70	22450	0	0
2021.09.15	4451.50	4490.50	4440.50	4490.25	20459	0	0
2021.09.16	4488.50	4490.75	4446.00	4472.50	19867	0	0
2021.09.17	4472.63	4485.25	4419.25	4422.25	26669	0	0
2021.09.20	4423.22	4430.03	4307.00	4353.00	52963	0	0
2021.09.21	4357.30	4408.05	4342.05	4349.30	42408	0	0
2021.09.22	4350.05	4418.80	4334.05	4397.30	37586	0	0
2021.09.23	4400.45	4467.45	4398.70	4449.70	26317	0	0
2021.09.24	4452.10	4465.35	4423.35	4457.85	26791	0	0
2021.09.27	4461.85	4484.35	4437.85	4443.10	24999	0	0
2021.09.28	4443.15	4454.15	4347.15	4361.65	44841	0	0
2021.09.29	4360.85	4390.60	4356.35	4369.85	41319	0	0
2021.09.30	4369.55	4399.80	4306.30	4308.30	43055	0	0
2021.10.01	4314.55	4377.30	4271.80	4360.55	51125	0	39
2021.10.04	4359.10	4373.35	4279.10	4306.60	56282	0	39
2021.10.05	4305.20	4371.90	4282.50	4343.90	39112	0	39
2021.10.06	4350.40	4369.75	4286.15	4367.00	54771	0	39
2021.10.07	4369.25	4432.75	4368.25	4400.50	29566	0	39
2021.10.08	4404.65	4419.30	4388.05	4393.30	36484	0	39
2021.10.11	4396.65	4418.90	4355.80	4357.80	37821	0	39
2021.10.12	4359.80	4376.55	4329.05	4341.30	44101	0	39
2021.10.13	4341.85	4376.10	4330.60	4366.10	36595	0	39
2021.10.14	4367.40	4448.85	4366.65	4446.60	21379	0	39
2021.10.15	4445.35	4478.55	4437.85	4475.55	22374	0	39
2021.10.18	4479.90	4491.45	4447.65	4486.70	23856	0	39
2021.10.19	4487.20	4528.95	4483.70	4526.70	18544	0	39
2021.10.20	4524.95	4543.70	4515.70	4536.20	17725	0	39
2021.10.21	4536.90	4554.40	4521.65	4543.40	19538	0	39
2021.10.22	4540.90	4562.65	4526.95	4541.00	25969	0	39
2021.10.25	4539.00	4577.50	4534.00	4575.75	20328	0	39
2021.10.26	4575.50	4601.25	4572.25	4577.00	21417	0	39
2021.10.27	4576.40	4587.65	4555.15	4557.65	26649	0	39
2021.10.28	4560.70	4600.70	4556.45	4587.70	24146	0	39
2021.10.29	4587.80	4613.30	4570.05	4611.30	26015	0	39
2021.11.01	4619.05	4630.05	4597.55	4616.30	19554	0	39
2021.11.02	4615.25	4637.65	4604.25	4632.40	17380	0	39
2021.11.03	4631.50	4667.15	4624.40	4661.90	17303	0	39
2021.11.04	4664.05	4687.13	4661.55	4682.90	16186	0	39
2021.11.05	4681.50	4722.00	4678.00	4695.50	21172	0	39
2021.11.08	4696.20	4717.70	4687.20	4701.70	21341	0	30
2021.11.09	4700.90	4710.65	4673.90	4685.65	26748	0	39
2021.11.10	4682.90	4689.40	4634.65	4654.15	28604	0	39
2021.11.11	4654.15	4670.65	4647.40	4655.90	18196	0	39
2021.11.12	4656.50	4694.25	4652.75	4691.50	16095	0	39
2021.11.15	4692.40	4706.15	4675.90	4688.65	16444	0	39
2021.11.16	4689.20	4718.20	4679.45	4704.45	15543	0	39
2021.11.17	4704.90	4708.65	4687.40	4693.40	14857	0	39
2021.11.18	4694.25	4712.25	4675.75	4712.00	17379	0	39
2021.11.19	4710.15	4730.65	4691.65	4703.65	25812	0	39
2021.11.22	4708.85	4748.20	4682.45	4689.05	23345	0	39
2021.11.23	4696.20	4704.70	4658.33	4693.20	40720	0	39
2021.11.24	4693.50	4711.00	4665.25	4709.75	35104	0	39
2021.11.25	4711.50	4725.75	4709.50	4714.50	9052	0	39
2021.11.26	4711.40	4711.90	4585.83	4587.83	57059	0	39
2021.11.29	4616.25	4678.00	4614.25	4664.75	46579	0	39
2021.11.30	4668.00	4675.25	4564.70	4592.20	66270	0	39
2021.12.01	4599.05	4657.80	4505.30	4515.30	54821	0	0
2021.12.02	4522.85	4600.10	4511.85	4589.10	68915	0	0
2021.12.03	4593.40	4612.40	4498.65	4539.15	68050	0	39
2021.12.06	4550.78	4617.65	4537.90	4600.40	56616	0	39
2021.12.07	4602.15	4703.40	4593.65	4701.90	32292	0	39
2021.12.08	4696.30	4718.05	4678.05	4705.55	37150	0	39
2021.12.09	4702.55	4711.80	4668.45	4674.95	31709	0	39
2021.12.10	4678.20	4720.50	4670.70	4718.65	31149	0	29
2021.12.13	4724.65	4738.40	4670.70	4680.33	33908	0	39
2021.12.14	4680.50	4691.00	4610.75	4643.50	42703	0	39
2021.12.15	4644.00	4719.90	4616.65	4717.05	42821	0	39
2021.12.16	4721.35	4757.35	4656.05	4678.80	46004	0	39
2021.12.17	4675.10	4681.35	4603.60	4632.85	60899	0	39
2021.12.20	4626.70	4627.33	4533.70	4583.95	67120	0	39
2021.12.21	4583.15	4656.15	4579.28	4655.65	38387	0	39
2021.12.22	4653.65	4703.15	4635.15	4702.65	29071	0	39
2021.12.23	4704.65	4744.10	4697.65	4730.10	16793	0	39
2021.12.27	4733.38	4797.40	4726.25	4795.15	18338	0	39
2021.12.28	4795.40	4811.15	4783.90	4794.75	22740	0	39
2021.12.29	4794.75	4809.00	4783.25	4797.25	19989	0	39
2021.12.30	4792.35	4812.60	4780.35	4784.35	17439	0	39
2021.12.31	4787.40	4791.15	4763.65	4773.15	20286	0	39
2022.01.03	4786.25	4804.00	4760.50	4797.00	26977	0	39
2022.01.04	4797.95	4820.70	4777.20	4795.45	25537	0	39
2022.01.05	4795.65	4800.40	4701.30	4704.30	33578	0	39
2022.01.06	4700.00	4727.00	4673.50	4704.50	55118	0	39
2022.01.07	4707.70	4716.20	4664.70	4677.70	40698	0	39
2022.01.10	4672.45	4691.95	4583.45	4672.70	49339	0	39
2022.01.11	4673.70	4718.65	4638.20	4715.45	44544	0	39
2022.01.12	4716.85	4750.60	4706.10	4730.45	36863	0	39
2022.01.13	4728.95	4745.70	4652.20	4659.45	38804	0	39
2022.01.14	4665.35	4676.35	4615.40	4674.25	57021	0	39
2022.01.17	4673.48	4676.10	4648.85	4664.60	22685	0	39
2022.01.18	4662.15	4671.40	4569.90	4586.90	54366	0	39
2022.01.19	4588.40	4612.40	4527.65	4534.90	55267	0	39
2022.01.20	4537.35	4603.60	4447.35	4452.10	53977	0	39
2022.01.21	4472.85	4496.10	4391.85	4394.35	84982	0	39
2022.01.24	4399.60	4436.60	4222.85	4414.28	78126	0	39
2022.01.25	4407.65	4415.65	4286.15	4317.15	81837	0	39
2022.01.26	4332.40	4455.40	4304.40	4347.40	85008	0	39
2022.01.27	4362.10	4430.23	4272.60	4348.48	94218	0	39
2022.01.28	4355.85	4434.35	4274.85	4429.10	83456	0	39
2022.01.31	4424.95	4516.20	4404.40	4499.70	58188	0	39
2022.02.01	4501.08	4563.20	4482.70	4558.20	46707	0	39
2022.02.02	4557.45	4594.45	4543.95	4553.45	38466	0	39
2022.02.03	4554.00	4554.25	4470.50	4525.50	42839	0	39
2022.02.04	4524.58	4539.45	4446.45	4491.95	56629	0	39
2022.02.07	4496.95	4522.75	4471.25	4490.70	61790	0	39
2022.02.08	4491.20	4531.45	4464.20	4525.20	47874	0	39
2022.02.09	4527.45	4591.95	4524.95	4588.25	31080	0	39
