<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.09.15	13157.15	13262.40	13134.20	13224.02	18954	0	0
2020.09.16	13224.02	13278.90	13172.40	13204.65	19364	0	0
2020.09.17	13204.65	13252.66	13032.20	13226.45	41913	0	0
2020.09.18	13226.45	13266.75	13055.50	13150.32	34638	0	0
2020.09.21	13132.12	13160.05	12494.60	12636.85	83564	0	0
2020.09.22	12636.85	12693.80	12553.00	12672.71	24575	0	0
2020.09.23	12672.71	12824.20	12522.80	12550.66	48076	0	0
2020.09.24	12550.66	12690.40	12446.05	12634.39	40498	0	0
2020.09.25	12634.39	12708.25	12335.10	12550.68	66260	0	0
2020.09.28	12554.73	12896.46	12554.73	12890.33	34787	0	0
2020.09.29	12890.33	12943.80	12733.60	12824.48	35456	0	0
2020.09.30	12824.48	12896.10	12683.20	12712.06	31339	0	0
2020.10.01	12712.06	12857.90	12666.90	12706.35	37630	0	0
2020.10.02	12706.35	12743.18	12538.20	12730.92	38540	0	0
2020.10.05	12783.42	12887.20	12724.90	12866.15	24188	0	0
2020.10.06	12866.15	12965.30	12754.75	12764.75	31971	0	0
2020.10.07	12764.75	12960.10	12752.74	12943.55	23593	0	0
2020.10.08	12943.55	13102.60	12933.20	13082.29	20007	0	0
2020.10.09	13082.29	13113.89	13008.30	13071.39	20029	0	0
2020.10.12	13037.99	13178.35	13030.85	13163.85	16915	0	0
2020.10.13	13163.85	13180.35	12955.10	12989.55	27621	0	0
2020.10.14	12989.55	13066.90	12952.20	12960.77	20063	0	0
2020.10.15	12960.77	12993.80	12595.20	12738.60	57504	0	0
2020.10.16	12738.60	12957.00	12704.80	12881.03	36198	0	0
2020.10.19	12880.63	13030.10	12721.30	12778.25	51523	0	0
2020.10.20	12778.25	12849.90	12682.55	12715.05	27151	0	0
2020.10.21	12715.05	12819.40	12532.60	12547.10	40566	0	0
2020.10.22	12547.10	12604.60	12342.80	12593.05	47766	0	0
2020.10.23	12593.05	12720.60	12506.90	12651.35	36911	0	0
2020.10.26	12602.35	12624.18	12088.80	12205.80	67422	0	0
2020.10.27	12205.80	12276.90	11938.40	11941.60	41281	0	0
2020.10.28	11941.60	11960.20	11453.10	11522.60	59521	0	0
2020.10.29	11522.60	11705.00	11452.00	11585.00	44361	0	0
2020.10.30	11585.00	11639.95	11323.70	11630.65	58686	0	0
2020.11.02	11544.50	11839.95	11498.52	11806.70	42067	0	0
2020.11.03	11806.70	12188.15	11800.88	12153.10	42815	0	0
2020.11.04	12153.10	12366.80	11787.35	12275.53	103648	0	0
2020.11.05	12275.53	12591.05	12229.37	12545.00	45390	0	0
